"TIME.24.HOURS","BASE.SUB.BASE","COUNTY","ROAD","PLACE","BRIEF.ACCIDENT.DETAILS","GENDER","AGE","CAUSE.CODE","VICTIM","NO.","Date.DD.MM.YYYY","X","latitude","longitude"
"630","KITUI","MAKUENI","KITUI-ITHOKWE","KITUI SCHOOL","HEAD ON COLLISION","M","26",7,"M/CYCLIST",1,"6/25/2016","so MM/DD/YYYY is the solution :)",-1.3694418,38.0057445
"830","VOI","TAITA TAVETA","MOMBASA-NAIROBI","IKANGA","HEAD ON COLLISION","M","28",25,"M/CYCLIST",1,"6/25/2016","",-3.7166,39.4833
"2100","ONGATA RONGAI","NAKURU","NAKURU-NAIROBI","MAASAI LODGE","THE VEHICLE KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD","M","65",29,"PEDESTRIAN",1,"6/25/2016","",-3.1046419,36.9231538
"1900","MATUU","MACHAKOS","MATUU-MWINGI","KIVANDINI","THE VEHICLE OVERTOOK A M/CYCLE AND LOST CONTROL VEERING OFF THE ROAD & ROLLED","M","A",10,"PASSENGER",1,"6/25/2016","",-1.8113536,37.6192793
"2130","NYANDO","HOMA BAY","KATITO-KENDU BAY","PAP ONDITI","HIT & RUN","M","A",98,"PEDESTRIAN",1,"6/25/2016","",-0.3110226,34.9353592
"1930","KAYOLE","NAIROBI","EASTERN BY PASS","NEAR GULF PETROL STATION","THE VEHICLE KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD","F","15",63,"PEDESTRIAN",1,"6/24/2016","",54.9951527,-3.05842003034184
"2100","EMBAKASI","NAIROBI","GITHUNGURI ROAD","ELSHADAI ROAD","THE VEHICLE KNOCKED DOWN THE M/CYCLIST","M","26",8,"M/CYCLIST",1,"6/23/2016","",-1.7817433,37.621595
"800","BONDO","SIAYA","BONDO USENGE","UDONGO","THE VEHICLE GOT A TYRE BURST AND LOST CONTROL","F","A",26,"PASSENGER",2,"6/22/2016","",-5.7655559,32.7391934
"1015","KIAMBU","KIAMBU","RUIRU KIAMBU","KIU RIVER","THE VEHICLE LOST CONTROL AND SWERVED TO THE LEFT","M","A",26,"PEDESTRIAN",1,"6/22/2016","",-1.189769,36.9063488
"1030","KIMILILI","BUNGOMA","KIMILILI CHWELE ROAD","CHWELE","THE VEHICLE HIT THE M/CYCLE","M","29",10,"M/CYCLIST",1,"6/22/2016","",0.737102,34.5798327
"1300","NGONG","NAIROBI","NGONG NAIROBI","KOBIL P/STATION","THE VEHICLE KNOCKED DOWN THE VICTIM","M","37",16,"PEDESTRIAN",1,"6/22/2016","",50.6098553,15.0068667
"2130","MTWAPA","KILIFI","KILIFI MSA ROAD","VIPINGO","HIT AND RUN","F","19",98,"PEDESTRIAN",1,"6/22/2016","",-3.8198725,39.7982313
"115","MOI'S BRIDGE","NANDI","ELDORET KITALE","SOI BRIDGE","HEAD ON COLLISION","M","32",98,"DRIVER",1,"6/21/2016","",-5.1580871,151.129975
"1525","MOIS BRIDGE","TRANS NZOIA","ELDORET KITALE","SOI BRIDGE","THE CYCLE LOST CONTROL AND HIT THE VEHICLE","M","29",20,"M/CYCLIST",1,"6/20/2016","",-5.1580871,151.129975
"1930","DTEO KAREN","NAIROBI","SOUTHERN BY PASS","NGONG ROAD JUNCTION","THE VEHICLE KNOCKED DOWN THE VICTIM","F","57",98,"PEDESTRIAN",1,"6/20/2016","",-1.29880885,36.7631807278367
"1230","EMBAKASI","NAIROBI","MOMBASA","IMARA DAIMA","THE VEHICLE KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD","M","J",60,"PEDESTRIAN",1,"6/19/2016","",-1.3231769,36.8795604
"1100","KILIFI","KILIFI","KILIFI-MALINDI","CHUMANI","HEAD ON COLLISION","M","A",10,"MOTOR CYCLIST & P/PASSENGER",2,"6/19/2016","",47.592234,-117.5375021
"2100","SALGAA","NAKURU","NAKURU-ELDORET","MOLO RIVER","HIT & RAN","M","A",98,"PEDESTRIAN",1,"6/19/2016","",0.4427078,36.0193371
"2100","MAKONGENI","NAIROBI","JOGOO","MAZIWA","THE BUS HIT THE MOTOR CYCLE FROM BEHIND","M","30",30,"MOTOR CYCLIST",1,"6/19/2016","",-10.352591,38.660825
"UNKNOWN TIME","TARU","KWALE","MSA VOI ROAD","PIPELINE","HIT AND RUN","M","A",98,"PEDESTRIAN",1,"6/18/2016","",-0.3226748,36.1397418
"2030","GUCHA","KISII","KISII KILGORIS ROAD","GUCHA","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PEDESTRIAN",1,"6/18/2016","",-0.80696705,34.7164486858101
"1830","AWENDO","HOMA BAY","KISII MIGORI","GUCHA BRIDGE","HEAD ON COLLISION","F","A",26,"PASSENGER",1,"6/18/2016","",-0.7111849,34.8217986
"2100","KISERIAN","KAJIADO","KISERIAN ISINYA","DAWAMU","HEAD ON COLLISION","M","33",22,"M/CYCLIST",1,"6/18/2016","",-1.5018197,36.763013
"2330","KITALE","UASIN GISHU","KITALE WEBUYE","KIMININI","THE VEHICLE HIT THE M/CYCLE","M","27",8,"P/PASSENGER",1,"6/18/2016","",0.9329072,34.993738518964
"2200","TARAKWA","NAKURU","ELDORET NAKURU","NGONG","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",68,"PEDESTRIAN",1,"6/18/2016","",9.0243521,13.5096813
"110","KAREN","NAIROBI","NGONG ROAD","PATHWAY JUNCTION","HIT AND RUN","M","40",98,"PEDESTRIAN",1,"6/18/2016","",-1.3121017,36.8496858
"1920","DAGORETI","NAIROBI","WAIYAKI WAY","KANGEMI MARKET","THE VEHICLE KNOCKED DOWN THE VICTIM","M","36",60,"PEDESTRIAN",1,"6/17/2016","",-1.2648052,36.748677095697
"2045","MUMIAS","KAKAMEGA","MATUNGU OKALLO MURRAM ROAD","MAKALE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",44,"M/CYCLIST",1,"6/17/2016","",-5.9933325,34.0748025
"900","KENDU BAY","HOMA BAY","KENDU BAY-KATITO","BIAFRA","HIT AND RAN","M","A",98,"PEDESTRIAN",1,"6/16/2016","",15.1415714,-89.3000078
"2100","NAROMORU","NYERI","NYERI-NANYUKI","NATIONAL OIL PETROL STATION","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",50,"PEDAL CYCLIST",1,"6/16/2016","",-1.1778845,36.9399807
"220","NTULELE","NAROK","NAROK-MAIMAHIU","MALTAURO","THE VEHICLE LOST CONTROL AND LANDED INTO A DITCH","F","A",78,"PASSENGER",1,"6/16/2016","",45.7292769,11.209577
"2030","GILGIL","NAKURU","ELEMENTAITA-GACHUMA","KAHURUKO","THE DRIVER FELL DOWN AND WAS RUN OVER BY THE REAR RIGHT WHEEL","M","55",50,"DRIVER",1,"6/15/2016","",-0.3492353,35.6782075
"1210","MWEA","EMBU","MWEA EMBU","KIMBIMBI","THE VEHICLE KNOCKED DOWN THE VICTIM","M","78",60,"PEDESTRIAN",1,"6/14/2016","",-0.6166,37.3666
"900","VOI","TAITA TAVETA","NAIROBI MOMBASA","MACKINON","THE VEHICLE KNOCKED DOWN THE VICTIM","F","A",92,"PEDESTRIAN",1,"6/14/2016","",-3.80957705,39.0904944834524
"1730","NAKURU","NAKURU","NAKURU GILGIL","GREENSTEAD SCHOOL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","60",60,"PEDESTRIAN",1,"6/14/2016","",51.89533045,0.938984506589372
"100","KAREN","NAIROBI","SOUTHERN BY PASS","NDUNYU","THE VEHICLE LOST CONTROL AND VEERED OFF THE ROAD","M","30",26,"DRIVER",1,"6/14/2016","",-1.2182113,36.7121384
"2350","KISERIAN","KAJIADO","MAGADI KISERIAN","ST.PATRICK","HEAD ON COLLISION","M","32",92,"M/CYCLIST",1,"6/14/2016","",43.6548199,-79.3882736
"1830","NAKURU","NAKURU","NAKURU NAIROBI","MANDERA HOUSE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",26,"M/CYCLIST",1,"6/14/2016","",-5.31666185,38.54156025
"1215","ELDORET","UASIN GISHU","NAKURU ELDORET","AT ANNEX","THE VEHICLE KNOCKED DOWN THE VICTIM","F","35",25,"P/PASSENGER",1,"6/12/2016","",35.7090592,5.88795383333375
"2000","DTEO KASARANI","NAIROBI","THIKA","ROOSTERS","THE VEHICLE KNOCKED DOWN THE VICTIM","M","14",98,"PEDESTRIAN",1,"6/12/2016","",51.035924,-0.0603718984473199
"2140","NYANDO","KISUMU","KATITO KENDU","KUSA","THE VEHICLE KNOCKED DOWN THE VICTIM","M","40",98,"PEDESTRIAN",1,"6/12/2016","",13.0727893,7.48630868888235
"1100","KITALE","TRANS NZOIA","KITALE-ELDORET","KEPHIS","HEAD ON COLLISION","F","J",26,"PASSENGER",1,"6/11/2016","",-0.3041063,36.1868045
"1300","CHANGAMWE","MOMBASA","MOMBASA-NAIROBI","BANGLA AREA","THE VEHICLE KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD","M","36",10,"PEDESTRIAN",1,"6/11/2016","",33.7153862,73.0690423
"1240","MAUA","EMBU","LAARE-MATUATI","MZALENDO","THE VEHICLE LOST CONTROL AND KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD","F","10",26,"PEDESTRIAN",1,"6/11/2016","",-0.5832619,35.6923292
"2020","EMBU","EMBU","EMBU-MERU","KIVUE","HEAD ON COLLISION","M","A",7,"MOTOR CYCLIST P/PASSENGER",2,"6/11/2016","",-0.4785759,37.4980433
"2040","NAKURU","NAKURU","NAKURU-NAIROBI","NAIVAS","HIT & RAN","M","30",98,"PEDESTRIAN",1,"6/11/2016","",-1.2655723,36.7409082
"1240","THIKA","KIAMBU","THIKA-GATHIMA","GATUANYAGA","THE TRUN BOY WAS RAN OVER BY THE LORRY WHEN HE TRIED TO ALIGHT FROM IT WHILE MOVING","M","A",59,"PASSENGER",1,"6/11/2016","",-1.07768855,37.2028444954225
"2330","NAROK","NAROK","NAROK-BOMET","BOMET","HIT & RAN","M","A",98,"PEDESTRIAN",1,"6/11/2016","",-0.7196054,35.2399624970457
"2330","DIANI","KWALE","UKUNDA LIKONI","KING BRIDGE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","40",26,"P/CYCLIST",1,"6/10/2016","",37.311637,-82.799945
"930","KERUGOYA","KIAMBU","KIMUNYE KUTUS ROAD","KARIA","THE VEHICLE LOST CONTROL AND SWERVED HITTING A TREE","M","40",26,"DRIVER",1,"6/9/2016","",-2.9711118,150.9913634
"950","BUSIA","BUSIA","BUSIA KISUMU ROAD","BUSIA TOWNSHIP","THE CYCLE LOST CONTROL AND FELL ON THE TARMAC AND WAS OVER RAN BY THE VEHICLE","M","35",26,"M/CYCLIST",1,"6/9/2016","",0.1072679,34.491572
